year,city,country,Nanjinga_avg_temp,global_avg_temp,,#N/A,#N/A,,,,
1841,Nanjing,China,14.5,7.69,,#N/A,#N/A,,,,
1842,Nanjing,China,15.06,8.02,,#N/A,#N/A,,YEAR,global_avg_temp,Nanjing_avg_temp Prediction
1843,Nanjing,China,15.16,8.17,,#N/A,#N/A,,2014,9.57,16.622434
1844,Nanjing,China,14.98,7.65,,#N/A,#N/A,,2015,9.83,16.876246
1845,Nanjing,China,15.04,7.85,,#N/A,#N/A,,,,
1846,Nanjing,China,15.51,8.55,,#N/A,#N/A,,correlation,0.790950497,
1847,Nanjing,China,15.4,8.09,,#N/A,#N/A,,,,
1848,Nanjing,China,14.71,7.98,,#N/A,#N/A,,,,
1849,Nanjing,China,15.07,7.98,,15.059,7.988,,,,
1850,Nanjing,China,15.16,7.9,,15.097,8.037,,,,
1851,Nanjing,China,14.88,8.18,,15.097,8.045,,,,
1852,Nanjing,China,15.06,8.1,,15.123,8.032,,,,
1853,Nanjing,China,15.42,8.04,,15.183,8.088,,,,
1854,Nanjing,China,15.58,8.21,,15.22,8.114,,,,
1855,Nanjing,China,15.41,8.11,,15.179,8.059,,,,
1856,Nanjing,China,15.1,8,,15.186,8.026,,,,
1857,Nanjing,China,15.47,7.76,,15.228,8.038,,,,
1858,Nanjing,China,15.13,8.1,,15.253,8.065,,,,
1859,Nanjing,China,15.32,8.25,,15.207,8.071,,,,
1860,Nanjing,China,14.7,7.96,,15.209,8.038,,,,
1861,Nanjing,China,14.9,7.85,,15.117,7.984,,,,
1862,Nanjing,China,14.14,7.56,,15.063,7.991,,,,
1863,Nanjing,China,14.88,8.11,,14.957,7.968,,,,
1864,Nanjing,China,14.52,7.98,,14.951,7.975,,,,
1865,Nanjing,China,15.35,8.18,,14.962,8.004,,,,
1866,Nanjing,China,15.21,8.29,,14.975,8.072,,,,
1867,Nanjing,China,15.6,8.44,,15.014,8.087,,,,
1868,Nanjing,China,15.52,8.25,,15.056,8.105,,,,
1869,Nanjing,China,15.74,8.43,,15.145,8.129,,,,
1870,Nanjing,China,15.59,8.2,,15.243,8.156,,,,
1871,Nanjing,China,15.88,8.12,,15.402,8.219,,,,
1872,Nanjing,China,15.73,8.19,,15.455,8.243,,,,
1873,Nanjing,China,15.41,8.35,,15.539,8.288,,,,
1874,Nanjing,China,15.36,8.43,,15.522,8.256,,,,
1875,Nanjing,China,15.18,7.86,,15.529,8.235,,,,
1876,Nanjing,China,15.28,8.08,,15.476,8.245,,,,
1877,Nanjing,China,15.07,8.54,,15.435,8.303,,,,
1878,Nanjing,China,15.11,8.83,,15.433,8.277,,,,
1879,Nanjing,China,15.72,8.17,,15.362,8.269,,,,
1880,Nanjing,China,14.88,8.12,,15.301,8.284,,,,
1881,Nanjing,China,15.27,8.27,,15.244,8.278,,,,
1882,Nanjing,China,15.16,8.13,,15.203,8.241,,,,
1883,Nanjing,China,15,7.98,,15.122,8.175,,,,
1884,Nanjing,China,14.55,7.77,,15.06,8.181,,,,
1885,Nanjing,China,14.56,7.92,,15.002,8.168,,,,
1886,Nanjing,China,14.7,7.95,,15.017,8.105,,,,
1887,Nanjing,China,15.22,7.91,,15.05,8.031,,,,
1888,Nanjing,China,15.44,8.09,,14.978,8.046,,,,
1889,Nanjing,China,15,8.32,,15.067,8.031,,,,
1890,Nanjing,China,15.77,7.97,,15.08,8.006,,,,
1891,Nanjing,China,15.4,8.02,,15.073,8,,,,
1892,Nanjing,China,15.09,8.07,,15.05,8.008,,,,
1893,Nanjing,China,14.77,8.06,,15.17,8.047,,,,
1894,Nanjing,China,15.75,8.16,,15.203,8.07,,,,
1895,Nanjing,China,14.89,8.15,,15.267,8.096,,,,
1896,Nanjing,China,15.34,8.21,,15.268,8.134,,,,
1897,Nanjing,China,15.23,8.29,,15.317,8.143,,,,
1898,Nanjing,China,15.93,8.18,,15.37,8.151,,,,
1899,Nanjing,China,15.53,8.4,,15.332,8.204,,,,
1900,Nanjing,China,15.39,8.5,,15.29,8.256,,,,
1901,Nanjing,China,14.98,8.54,,15.376,8.279,,,,
1902,Nanjing,China,15.95,8.3,,15.42,8.295,,,,
1903,Nanjing,China,15.21,8.22,,15.375,8.288,,,,
1904,Nanjing,China,15.3,8.09,,15.384,8.296,,,,
1905,Nanjing,China,14.98,8.23,,15.353,8.313,,,,
1906,Nanjing,China,15.03,8.38,,15.356,8.279,,,,
1907,Nanjing,China,15.26,7.95,,15.299,8.28,,,,
1908,Nanjing,China,15.36,8.19,,15.294,8.258,,,,
1909,Nanjing,China,15.48,8.18,,15.238,8.23,,,,
1910,Nanjing,China,14.83,8.22,,15.242,8.194,,,,
1911,Nanjing,China,15.02,8.18,,15.169,8.181,,,,
1912,Nanjing,China,15.22,8.17,,15.153,8.189,,,,
1913,Nanjing,China,15.05,8.3,,15.236,8.239,,,,
1914,Nanjing,China,16.13,8.59,,15.301,8.275,,,,
1915,Nanjing,China,15.63,8.59,,15.317,8.26,,,,
1916,Nanjing,China,15.19,8.23,,15.276,8.267,,,,
1917,Nanjing,China,14.85,8.02,,15.253,8.261,,,,
1918,Nanjing,China,15.13,8.13,,15.265,8.281,,,,
1919,Nanjing,China,15.6,8.38,,15.343,8.295,,,,
1920,Nanjing,China,15.61,8.36,,15.36,8.334,,,,
1921,Nanjing,China,15.19,8.57,,15.41,8.358,,,,
1922,Nanjing,China,15.72,8.41,,15.463,8.37,,,,
1923,Nanjing,China,15.58,8.42,,15.391,8.362,,,,
1924,Nanjing,China,15.41,8.51,,15.371,8.356,,,,
1925,Nanjing,China,15.43,8.53,,15.421,8.406,,,,
1926,Nanjing,China,15.69,8.73,,15.529,8.456,,,,
1927,Nanjing,China,15.93,8.52,,15.606,8.506,,,,
1928,Nanjing,China,15.9,8.63,,15.601,8.492,,,,
1929,Nanjing,China,15.55,8.24,,15.592,8.519,,,,
1930,Nanjing,China,15.52,8.63,,15.592,8.534,,,,
1931,Nanjing,China,15.19,8.72,,15.587,8.564,,,,
1932,Nanjing,China,15.67,8.71,,15.572,8.556,,,,
1933,Nanjing,China,15.43,8.34,,15.587,8.568,,,,
1934,Nanjing,China,15.56,8.63,,15.648,8.567,,,,
1935,Nanjing,China,16.04,8.52,,15.584,8.549,,,,
1936,Nanjing,China,15.05,8.55,,15.561,8.567,,,,
1937,Nanjing,China,15.7,8.7,,15.577,8.59,,,,
1938,Nanjing,China,16.06,8.86,,15.601,8.642,,,,
1939,Nanjing,China,15.79,8.76,,15.646,8.655,,,,
1940,Nanjing,China,15.97,8.76,,15.739,8.66,,,,
1941,Nanjing,China,16.12,8.77,,15.762,8.662,,,,
1942,Nanjing,China,15.9,8.73,,15.789,8.704,,,,
1943,Nanjing,China,15.7,8.76,,15.813,8.726,,,,
1944,Nanjing,China,15.8,8.85,,15.78,8.732,,,,
1945,Nanjing,China,15.71,8.58,,15.916,8.745,,,,
1946,Nanjing,China,16.41,8.68,,15.917,8.755,,,,
1947,Nanjing,China,15.71,8.8,,15.92,8.744,,,,
1948,Nanjing,China,16.09,8.75,,15.957,8.727,,,,
1949,Nanjing,China,16.16,8.59,,15.957,8.688,,,,
1950,Nanjing,China,15.97,8.37,,15.931,8.674,,,,
1951,Nanjing,China,15.86,8.63,,15.899,8.665,,,,
1952,Nanjing,China,15.58,8.64,,15.996,8.676,,,,
1953,Nanjing,China,16.67,8.87,,15.956,8.647,,,,
1954,Nanjing,China,15.4,8.56,,15.953,8.652,,,,
1955,Nanjing,China,15.68,8.63,,15.83,8.612,,,,
1956,Nanjing,China,15.18,8.28,,15.777,8.605,,,,
1957,Nanjing,China,15.18,8.73,,15.736,8.607,,,,
1958,Nanjing,China,15.68,8.77,,15.73,8.621,,,,
1959,Nanjing,China,16.1,8.73,,15.743,8.642,,,,
1960,Nanjing,China,16.1,8.58,,15.826,8.659,,,,
1961,Nanjing,China,16.69,8.8,,15.852,8.67,,,,
1962,Nanjing,China,15.84,8.75,,15.771,8.669,,,,
1963,Nanjing,China,15.86,8.86,,15.843,8.654,,,,
1964,Nanjing,China,16.12,8.41,,15.848,8.644,,,,
1965,Nanjing,China,15.73,8.53,,15.945,8.676,,,,
1966,Nanjing,China,16.15,8.6,,16.001,8.673,,,,
1967,Nanjing,China,15.74,8.7,,16.019,8.648,,,,
1968,Nanjing,China,15.86,8.52,,15.93,8.635,,,,
1969,Nanjing,China,15.21,8.6,,15.861,8.647,,,,
1970,Nanjing,China,15.41,8.7,,15.769,8.627,,,,
1971,Nanjing,China,15.77,8.6,,15.717,8.602,,,,
1972,Nanjing,China,15.32,8.5,,15.725,8.611,,,,
1973,Nanjing,China,15.94,8.95,,15.669,8.617,,,,
1974,Nanjing,China,15.56,8.47,,15.698,8.638,,,,
1975,Nanjing,China,16.02,8.74,,15.63,8.613,,,,
1976,Nanjing,China,15.47,8.35,,15.627,8.628,,,,
1977,Nanjing,China,15.71,8.85,,15.684,8.645,,,,
1978,Nanjing,China,16.43,8.69,,15.783,8.658,,,,
1979,Nanjing,China,16.2,8.73,,15.759,8.686,,,,
1980,Nanjing,China,15.17,8.98,,15.735,8.743,,,,
1981,Nanjing,China,15.53,9.17,,15.782,8.757,,,,
1982,Nanjing,China,15.79,8.64,,15.775,8.765,,,,
1983,Nanjing,China,15.87,9.03,,15.748,8.787,,,,
1984,Nanjing,China,15.29,8.69,,15.704,8.779,,,,
1985,Nanjing,China,15.58,8.66,,15.716,8.827,,,,
1986,Nanjing,China,15.59,8.83,,15.728,8.841,,,,
1987,Nanjing,China,15.83,8.99,,15.664,8.892,,,,
1988,Nanjing,China,15.79,9.2,,15.627,8.911,,,,
1989,Nanjing,China,15.83,8.92,,15.776,8.936,,,,
1990,Nanjing,China,16.66,9.23,,15.794,8.937,,,,
1991,Nanjing,China,15.71,9.18,,15.798,8.957,,,,
1992,Nanjing,China,15.83,8.84,,15.769,8.941,,,,
1993,Nanjing,China,15.58,8.87,,15.933,8.976,,,,
1994,Nanjing,China,16.93,9.04,,15.982,9.045,,,,
1995,Nanjing,China,16.07,9.35,,16.005,9.066,,,,
1996,Nanjing,China,15.82,9.04,,16.063,9.087,,,,
1997,Nanjing,China,16.41,9.2,,16.195,9.119,,,,
1998,Nanjing,China,17.11,9.52,,16.245,9.156,,,,
1999,Nanjing,China,16.33,9.29,,16.227,9.153,,,,
2000,Nanjing,China,16.48,9.2,,16.303,9.176,,,,
2001,Nanjing,China,16.47,9.41,,16.401,9.249,,,,
2002,Nanjing,China,16.81,9.57,,16.475,9.315,,,,
2003,Nanjing,China,16.32,9.53,,16.468,9.343,,,,
2004,Nanjing,China,16.86,9.32,,16.502,9.378,,,,
2005,Nanjing,China,16.41,9.7,,16.622,9.427,,,,
2006,Nanjing,China,17.02,9.53,,16.705,9.48,,,,
2007,Nanjing,China,17.24,9.73,,16.628,9.471,,,,
2008,Nanjing,China,16.34,9.43,,16.658,9.493,,,,
2009,Nanjing,China,16.63,9.51,,16.654,9.543,,,,
2010,Nanjing,China,16.44,9.7,,16.629,9.554,,,,
2011,Nanjing,China,16.22,9.52,,16.561,9.548,,,,
2012,Nanjing,China,16.13,9.51,,16.717,9.556,,,,
2013,Nanjing,China,17.88,9.61,,,9.581,,,,
2014,,,,9.57,,,9.594,,,,
2015,,,,9.83,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
0.790950497,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
,,,, ,,,,,,,
